keys,en,es
Max Reverb Duration,Max Reverb Duration,Duración máxima de reverberación
Realtime Rays,Realtime Rays,Rayos en tiempo real
Realtime Bounces,Realtime Bounces,Rebotes en tiempo real
Scene Type,Scene Type,Tipo de escena
Direct Binaural,Direct Binaural,Binaural directo
Reverb Binaural,Reverb Binaural,Binaural de reverberación
Pathing Binaural,Pathing Binaural,Binaural de trazado
Use Virtual Surround,Use Virtual Surround,Usar sonido envolvente virtual
Max Simulation Sources,Max Simulation Sources,Máximo de fuentes en simulación
Dynamic Scene Commit Min Interval,Dynamic Scene Commit Min Interval,Intervalo mínimo de commit en escena dinámica
Reflections Sim Interval,Reflections Sim Interval,Intervalo de simulación de reflexiones
Pathing Sim Interval,Pathing Sim Interval,Intervalo de simulación de trazado
Direct Sim Interval,Direct Sim Interval,Intervalo de simulación directa
Simulation Cpu Cores Percent,Simulation Cpu Cores Percent,Porcentaje de núcleos de CPU para simulación
"No ResonanceRuntime with a valid ResonanceRuntimeConfig was found in the edited scene. Add a ResonanceRuntime node, assign a config resource, then deselect and reselect the ResonanceProbeVolume or use Bake Probes so the server can start.","No ResonanceRuntime with a valid ResonanceRuntimeConfig was found in the edited scene. Add a ResonanceRuntime node, assign a config resource, then deselect and reselect the ResonanceProbeVolume or use Bake Probes so the server can start.","No se encontró ningún ResonanceRuntime con una ResonanceRuntimeConfig válida en la escena editada. Añade un nodo ResonanceRuntime, asigna un recurso de configuración, luego deselecciona y vuelve a seleccionar el ResonanceProbeVolume o usa Hornear sondas para que el servidor pueda iniciarse."
"ResonanceStaticScene at %s has no static_scene_asset; nested ResonanceStaticGeometry is still merged into this export. Export the sub-scene first to assign an asset, or remove the node - then parent exports will skip this subtree.","ResonanceStaticScene at %s has no static_scene_asset; nested ResonanceStaticGeometry is still merged into this export. Export the sub-scene first to assign an asset, or remove the node - then parent exports will skip this subtree.","ResonanceStaticScene en %s no tiene static_scene_asset; la geometría estática ResonanceStaticGeometry anidada todavía está fusionada en esta exportación. Exporta la subescena primero para asignar un recurso, o elimina el nodo; luego las exportaciones de los padres omitirán este subárbol."
"This will load every .tscn under res:// from disk, convert Animation audio tracks that target ResonancePlayer into Call Method tracks, and overwrite files that change.\n\nUse version control or a backup. Save or close open scenes first so you do not lose unsaved editor changes.\n\nTracks with use blend are skipped (see Output for warnings). Continue?","This will load every .tscn under res:// from disk, convert Animation audio tracks that target ResonancePlayer into Call Method tracks, and overwrite files that change.\n\nUse version control or a backup. Save or close open scenes first so you do not lose unsaved editor changes.\n\nTracks with use blend are skipped (see Output for warnings). Continue?","Esto cargará todos los archivos .tscn bajo res:// desde el disco, convertirá las pistas de audio de animación que apuntan a ResonancePlayer en pistas de llamada de método (Call Method) y sobrescribirá los archivos que cambien.\n\nUsa control de versiones o una copia de seguridad. Guarda o cierra las escenas abiertas primero para no perder cambios sin guardar en el editor.\n\nLas pistas con uso de mezcla (use blend) se omitirán (ver salida para advertencias). ¿Continuar?"
"Auto-converted %d animation audio track(s) on ResonancePlayer (now Call Method). If any tracks used blend, check Output for Nexus Resonance warnings.","Auto-converted %d animation audio track(s) on ResonancePlayer (now Call Method). If any tracks used blend, check Output for Nexus Resonance warnings.","Se convirtieron automáticamente %d pista(s) de audio de animación en ResonancePlayer (ahora llamada de método). Si alguna pista usaba mezcla (blend), revisa la salida para ver advertencias de Nexus Resonance."
"Project-wide conversion: %d track(s) converted, %d scene file(s) saved, %d scene(s) failed. Skipped %d blend track(s), %d non-ResonancePlayer target(s).","Project-wide conversion: %d track(s) converted, %d scene file(s) saved, %d scene(s) failed. Skipped %d blend track(s), %d non-ResonancePlayer target(s).","Conversión en todo el proyecto: %d pista(s) convertida(s), %d archivo(s) de escena guardado(s), %d escena(s) fallida(s). Se omitieron %d pista(s) de mezcla (blend), %d objetivo(s) que no son ResonancePlayer."
"GDExtension did not load. Native Nexus Resonance features and baking will not work. Verify addons/nexus_resonance/bin matches your OS and CPU (e.g. Linux x86_64), and check the Output panel for loader errors.","GDExtension did not load. Native Nexus Resonance features and baking will not work. Verify addons/nexus_resonance/bin matches your OS and CPU (e.g. Linux x86_64), and check the Output panel for loader errors.","GDExtension no se cargó. Las funciones nativas y el horneado de Nexus Resonance no funcionarán. Verifica que addons/nexus_resonance/bin coincida con tu sistema operativo y CPU (por ejemplo, Linux x86_64), y revisa el panel de Salida para ver errores del cargador."
Converted %d audio track(s) on ResonancePlayer (%d AnimationPlayer node(s) scanned).,Converted %d audio track(s) on ResonancePlayer (%d AnimationPlayer node(s) scanned).,Se convirtieron %d pista(s) de audio en ResonancePlayer (%d nodo(s) AnimationPlayer escaneados).
 Skipped %d non-ResonancePlayer target(s)., Skipped %d non-ResonancePlayer target(s)., Se omitieron %d objetivo(s) que no son ResonancePlayer.
Convert scene failed (%s): %s,Convert scene failed (%s): %s,Falló la conversión de la escena (%s): %s
Auto-convert skipped %d blend track(s); convert manually for Steam Audio.,Auto-convert skipped %d blend track(s); convert manually for Steam Audio.,La conversión automática omitió %d pista(s) de mezcla; conviértelas manualmente para Steam Audio.
Nexus Resonance SOFA HRTF,Nexus Resonance SOFA HRTF,Filtro HRTF SOFA de Nexus Resonance
None,None,Ninguno
Nexus Resonance: ResonanceSOFAAsset not available.,Nexus Resonance: ResonanceSOFAAsset not available.,Nexus Resonance: ResonanceSOFAAsset no está disponible.
Server Status,Server Status,Estado del servidor
Audio Instrumentation,Audio Instrumentation,Instrumentación de audio
Reverb Bus,Reverb Bus,Bus de reverberación
Server Status - not loaded,Server Status - not loaded,Estado del servidor - no cargado
Server Status - not initialized,Server Status - not initialized,Estado del servidor - no inicializado
Server Status - waiting for geometry,Server Status - waiting for geometry,Estado del servidor - esperando geometría
Server Status - initialized,Server Status - initialized,Estado del servidor - inicializado
Nexus Resonance Debug,Nexus Resonance Debug,Depuración de Nexus Resonance
Apply Occlusion To Baked Reflections,Apply Occlusion To Baked Reflections,Aplicar oclusión a reflexiones horneadas
Baked Reverb Use Listener Probe,Baked Reverb Use Listener Probe,Reverberación horneada usa sonda del oyente
Perspective Correction Enabled,Perspective Correction Enabled,Corrección de perspectiva habilitada
Perspective Correction Factor,Perspective Correction Factor,Factor de corrección de perspectiva
Reverb Influence Radius,Reverb Influence Radius,Radio de influencia de reverberación
Reverb Transmission Amount,Reverb Transmission Amount,Cantidad de transmisión de reverberación
Runtime,Runtime,Tiempo de ejecución
Air Absorption Enabled,Air Absorption Enabled,Absorción de aire habilitada
Air Absorption High,Air Absorption High,Absorción de aire alta
Air Absorption Input,Air Absorption Input,Entrada de absorción de aire
Air Absorption Low,Air Absorption Low,Absorción de aire baja
Air Absorption Mid,Air Absorption Mid,Absorción de aire media
Attenuation Curve,Attenuation Curve,Curva de atenuación
Attenuation Mode,Attenuation Mode,Modo de atenuación
Audio Source Node,Audio Source Node,Nodo de fuente de audio
Batch Source Updates,Batch Source Updates,Actualizaciones de fuente en lote
Bus,Bus,Bus
Bus Name,Bus Name,Nombre del bus
Bus Override,Bus Override,Sobrescribir bus
Convolution Ir Max Samples,Convolution Ir Max Samples,Muestras máximas de IR de convolución
Current Baked Listener,Current Baked Listener,Oyente horneado actual
Current Baked Source,Current Baked Source,Fuente horneada actual
Direct Binaural Override,Direct Binaural Override,Sobrescribir binaural directo
Direct Mix Level,Direct Mix Level,Nivel de mezcla directo
Directivity Enabled,Directivity Enabled,Directividad habilitada
Directivity Input,Directivity Input,Entrada de directividad
Directivity Power,Directivity Power,Potencia de directividad
Directivity Value,Directivity Value,Valor de directividad
Directivity Weight,Directivity Weight,Peso de directividad
Find Alternate Paths,Find Alternate Paths,Buscar rutas alternativas
Find Alternate Paths Override,Find Alternate Paths Override,Sobrescribir buscar rutas alternativas
Hrtf Interpolation Bilinear,Hrtf Interpolation Bilinear,Interpolación HRTF bilineal
Hrtf Interpolation Override,Hrtf Interpolation Override,Sobrescribir interpolación HRTF
Hrtf Normalization Type,Hrtf Normalization Type,Tipo de normalización de HRTF
Hrtf Sofa Assets,Hrtf Sofa Assets,Recursos SOFA de HRTF
Hrtf Sofa Selected Index,Hrtf Sofa Selected Index,Índice de SOFA HRTF seleccionado
Hrtf Volume Db,Hrtf Volume Db,Volumen de HRTF (dB)
Hybrid Reverb Overlap Percent,Hybrid Reverb Overlap Percent,Porcentaje de solapamiento de reverb híbrida
Hybrid Reverb Transition Time,Hybrid Reverb Transition Time,Tiempo de transición de reverb híbrida
Listener Camera,Listener Camera,Cámara del oyente
Master Mix Level,Master Mix Level,Nivel de mezcla maestro
Max Distance,Max Distance,Distancia máxima
Max Occlusion Samples,Max Occlusion Samples,Muestras máximas de oclusión
Max Transmission Surfaces,Max Transmission Surfaces,Superficies de transmisión máximas
Max Transmission Surfaces Override,Max Transmission Surfaces Override,Sobrescribir superficies de transmisión máximas
Min Distance,Min Distance,Distancia mínima
Occlusion Input,Occlusion Input,Entrada de oclusión
Occlusion Samples,Occlusion Samples,Muestras de oclusión
Occlusion Type,Occlusion Type,Tipo de oclusión
Occlusion Type Override,Occlusion Type Override,Sobrescribir tipo de oclusión
Occlusion Value,Occlusion Value,Valor de oclusión
Path Validation Enabled,Path Validation Enabled,Validación de ruta habilitada
Path Validation Override,Path Validation Override,Sobrescribir validación de ruta
Pathing Binaural Override,Pathing Binaural Override,Sobrescribir binaural de trazado
Pathing Enabled Override,Pathing Enabled Override,Sobrescribir trazado de rutas habilitado
Pathing Mix Level,Pathing Mix Level,Nivel de mezcla de trazado
Pathing Normalize Eq,Pathing Normalize Eq,Ecualización de normalización de trazado
Pathing Num Vis Samples,Pathing Num Vis Samples,Muestras de visibilidad de trazado
Perspective Factor,Perspective Factor,Factor de perspectiva
Physics Ray Batch Size,Physics Ray Batch Size,Tamaño de lote de rayos de física
Physics Ray Collision Mask,Physics Ray Collision Mask,Máscara de colisión de rayos de física
Playback Parameter Min Interval,Playback Parameter Min Interval,Intervalo mínimo de parámetros de reproducción
Playback Parameter Min Move,Playback Parameter Min Move,Movimiento mínimo de parámetros de reproducción
Realtime Irradiance Min Distance,Realtime Irradiance Min Distance,Distancia mínima de irradiancia en tiempo real
Realtime Num Diffuse Samples,Realtime Num Diffuse Samples,Muestras difusas en tiempo real
Realtime Reflection Max Distance,Realtime Reflection Max Distance,Distancia máxima de reflexión en tiempo real
Realtime Simulation Duration,Realtime Simulation Duration,Duración de simulación en tiempo real
Reflections Adaptive Budget Us,Reflections Adaptive Budget Us,Presupuesto adaptativo de reflexiones (us)
Reflections Adaptive Decay Per Sec,Reflections Adaptive Decay Per Sec,Decaimiento adaptativo de reflexiones por segundo
Reflections Adaptive Max Extra Interval,Reflections Adaptive Max Extra Interval,Intervalo extra máximo adaptativo de reflexiones
Reflections Adaptive Ray Min,Reflections Adaptive Ray Min,Mínimo de rayos adaptativos de reflexiones
Reflections Adaptive Ray Recover Cap,Reflections Adaptive Ray Recover Cap,Límite de recuperación de rayos adaptativos de reflexiones
Reflections Adaptive Ray Recover Frac,Reflections Adaptive Ray Recover Frac,Fracción de recuperación de rayos adaptativos de reflexiones
Reflections Adaptive Step Sec,Reflections Adaptive Step Sec,Paso en segundos adaptativo de reflexiones
Reflections Defer After Scene Commit Us,Reflections Defer After Scene Commit Us,Retrasar reflexiones tras commit de escena (us)
Reflections Delay,Reflections Delay,Retraso de reflexiones
Reflections Enabled,Reflections Enabled,Reflexiones habilitadas
Reflections Eq High,Reflections Eq High,Ecualización de reflexiones alta
Reflections Eq Low,Reflections Eq Low,Ecualización de reflexiones baja
Reflections Eq Mid,Reflections Eq Mid,Ecualización de reflexiones media
Reflections Mix Level,Reflections Mix Level,Nivel de mezcla de reflexiones
Reflections Sampling Mode,Reflections Sampling Mode,Modo de muestreo de reflexiones
Reverb Binaural Override,Reverb Binaural Override,Sobrescribir binaural de reverb
Reverb Bus Override,Reverb Bus Override,Sobrescribir bus de reverb
Reverb Transmission Amount Input,Reverb Transmission Amount Input,Entrada de cantidad de transmisión de reverb
Simulation Occlusion Enabled,Simulation Occlusion Enabled,Oclusión de simulación habilitada
Simulation Transmission Enabled,Simulation Transmission Enabled,Transmisión de simulación habilitada
Spatial Blend,Spatial Blend,Mezcla espacial
Transmission Input,Transmission Input,Entrada de transmisión
Transmission Type,Transmission Type,Tipo de transmisión
Use Ambisonics Encode,Use Ambisonics Encode,Usar codificación de ambisónicos
0–1 damping on reverb wet when User Defined and wet occlusion applies.,0–1 damping on reverb wet when User Defined and wet occlusion applies.,Atenuación de 0 a 1 en el efecto (wet) de reverberación cuando está definido por el usuario y se aplica oclusión al efecto (wet).
"Adaptive scheduling: when the last reflections tick exceeds this many microseconds, increase the effective reflection interval.
0 = off.","Adaptive scheduling: when the last reflections tick exceeds this many microseconds, increase the effective reflection interval.
0 = off.","Programación adaptativa: cuando el último ciclo de reflexiones supera este número de microsegundos, aumenta el intervalo de reflexión efectivo.
0 = desactivado."
"Air absorption source: Simulation Defined = physics-based, User Defined = use low/mid/high sliders.","Air absorption source: Simulation Defined = physics-based, User Defined = use low/mid/high sliders.","Origen de absorción de aire: Definido por simulación = basado en física, Definido por usuario = usa deslizadores de baja/media/alta frecuencia."
"Ambisonic order for reverb playback (convolution effect channels, mixer/decode, pathing order)
and for realtime reflection simulation ([code]IPLSimulationSettings.maxOrder[/code]).","Ambisonic order for reverb playback (convolution effect channels, mixer/decode, pathing order)
and for realtime reflection simulation ([code]IPLSimulationSettings.maxOrder[/code]).","Orden de ambisónicos para la reproducción de reverberación (canales del efecto de convolución, mezcla/decodificación, orden de trazado de rutas)
y para la simulación de reflexiones en tiempo real ([code]IPLSimulationSettings.maxOrder[/code])."
"Ambisonics order of baked convolution IRs (Steam Audio IPLReflectionsBakeParams.order). 1 = fastest/smallest, 3 = highest spatial detail, larger bake data.","Ambisonics order of baked convolution IRs (Steam Audio IPLReflectionsBakeParams.order). 1 = fastest/smallest, 3 = highest spatial detail, larger bake data.","Orden de ambisónicos de las IRs de convolución horneadas (Steam Audio IPLReflectionsBakeParams.order). 1 = más rápido/pequeño, 3 = mayor detalle espacial, datos de horneado más grandes."
Apply HRTF in the pathing effect (indirect paths around obstacles).,Apply HRTF in the pathing effect (indirect paths around obstacles).,Aplica HRTF en el efecto de trazado de rutas (rutas indirectas alrededor de obstáculos).
Apply HRTF when decoding convolution / mixer Ambisonics to stereo (wet / [member reverb_bus_name]).,Apply HRTF when decoding convolution / mixer Ambisonics to stereo (wet / [member reverb_bus_name]).,Aplica HRTF al decodificar la convolución / mezcla de ambisónicos a estéreo (señal wet / [member reverb_bus_name]).
Apply directional HRTF on the **direct** dry path (vs speaker panning). Requires a loaded HRTF.,Apply directional HRTF on the **direct** dry path (vs speaker panning). Requires a loaded HRTF.,Aplica HRTF direccional en la ruta dry **directa** (frente al paneo de altavoces). Requiere un HRTF cargado.
"Audio processing block size (samples per channel per apply call).
Auto is recommended. Use Manual only when you're tuning latency vs CPU and know your mix buffer size.","Audio processing block size (samples per channel per apply call).
Auto is recommended. Use Manual only when you're tuning latency vs CPU and know your mix buffer size.","Tamaño del bloque de procesamiento de audio (muestras por canal por llamada de aplicación).
Se recomienda Auto. Usa Manual solo cuando estés ajustando la latencia frente al uso de CPU y conozcas el tamaño del búfer de mezcla."
Bake static listener from bake_listeners NodePath. Adds baked response at listener position.,Bake static listener from bake_listeners NodePath. Adds baked response at listener position.,Hornea el oyente estático desde la ruta de nodo (NodePath) de bake_listeners. Añade la respuesta horneada en la posición del oyente.
Bake static source from bake_sources NodePath. Adds baked direct sound at source position.,Bake static source from bake_sources NodePath. Adds baked direct sound at source position.,Hornea la fuente estática desde la ruta de nodo (NodePath) de bake_sources. Añade el sonido directo horneado en la posición de la fuente.
Baked REVERB probe choice: listener- vs source-centric (Use Global / override). Realtime ray origin unchanged.,Baked REVERB probe choice: listener- vs source-centric (Use Global / override). Realtime ray origin unchanged.,Elección de sonda para REVERBERACIÓN horneada: centrada en el oyente frente a centrada en la fuente (Usar global / sobrescribir). El origen de los rayos en tiempo real permanece sin cambios.
"Baked REVERB: multiply wet by direct-path occlusion/transmission. Default [code]false[/code] - LOS occlusion does not separate “same room, blocked sight” from “sealed source”; enabling dampens both and can kill plausible diffraction. Prefer realtime reflections or STATICSOURCE bakes for hard cases; see [code]docs/baked-reflections-and-outdoor-sources.md[/code].","Baked REVERB: multiply wet by direct-path occlusion/transmission. Default [code]false[/code] - LOS occlusion does not separate “same room, blocked sight” from “sealed source”; enabling dampens both and can kill plausible diffraction. Prefer realtime reflections or STATICSOURCE bakes for hard cases; see [code]docs/baked-reflections-and-outdoor-sources.md[/code].","REVERBERACIÓN horneada: multiplica la señal wet por la oclusión/transmisión de ruta directa. Por defecto [code]false[/code] - la oclusión LOS no separa 'misma sala, vista bloqueada' de 'fuente sellada'; activarlo atenúa ambas y puede eliminar la difracción plausible. Prefiere reflexiones en tiempo real o horneados de STATICSOURCE para casos difíciles; consulta [code]docs/baked-reflections-and-outdoor-sources.md[/code]."
Baking Path Range: Probes beyond this distance (m) have no path between them.,Baking Path Range: Probes beyond this distance (m) have no path between them.,Rango de ruta de horneado: Las sondas más allá de esta distancia (m) no tienen ruta entre ellas.
"Baking Visibility Radius: Each probe is a sphere of this radius (m). Larger = more samples, longer bake.","Baking Visibility Radius: Each probe is a sphere of this radius (m). Larger = more samples, longer bake.","Radio de visibilidad de horneado: Cada sonda es una esfera de este radio (m). Más grande = más muestras, horneado más largo."
Baking Visibility Range: Probes beyond this distance (m) are not considered mutually visible.,Baking Visibility Range: Probes beyond this distance (m) are not considered mutually visible.,Rango de visibilidad de horneado: Las sondas más allá de esta distancia (m) no se consideran visibles entre sí.
"Baking Visibility Samples: Point samples per probe for visibility tests. Higher = smoother, longer bake.","Baking Visibility Samples: Point samples per probe for visibility tests. Higher = smoother, longer bake.","Muestras de visibilidad de horneado: Muestras de puntos por sonda para pruebas de visibilidad. Mayor = más suave, horneado más largo."
"Baking Visibility Threshold: Fraction of unoccluded rays required. Lower = more paths, longer bake.","Baking Visibility Threshold: Fraction of unoccluded rays required. Lower = more paths, longer bake.","Umbral de visibilidad de horneado: Fracción de rayos no ocluidos requerida. Menor = más rutas, horneado más largo."
"Bilinear HRTF interpolation. Smoother than nearest, slightly more CPU.","Bilinear HRTF interpolation. Smoother than nearest, slightly more CPU.","Interpolación HRTF bilineal. Más suave que la más cercana, consume un poco más de CPU."
"Blends this node's output between 2D (0) and full 3D spatial audio (1). At 0 the sound is panned as stereo (no HRTF / room simulation on the dry path); at 1 Nexus Resonance drives full spatialization, occlusion, and bus routing like a normal 3D source. Values in between mix the two (useful for UI voices vs world-attached sources).","Blends this node's output between 2D (0) and full 3D spatial audio (1). At 0 the sound is panned as stereo (no HRTF / room simulation on the dry path); at 1 Nexus Resonance drives full spatialization, occlusion, and bus routing like a normal 3D source. Values in between mix the two (useful for UI voices vs world-attached sources).","Mezcla la salida de este nodo entre 2D (0) y audio espacial 3D completo (1). En 0 el sonido se panea como estéreo (sin HRTF ni simulación de sala en la ruta dry); en 1 Nexus Resonance controla la espacialización completa, oclusión y enrutamiento de buses como una fuente 3D normal. Los valores intermedios mezclan ambos (útil para voces de interfaz de usuario frente a fuentes acopladas al mundo)."
Bus for Direct + Pathing when bus_override is Custom. Pick from existing buses in Audio Bus Layout.,Bus for Direct + Pathing when bus_override is Custom. Pick from existing buses in Audio Bus Layout.,Bus para Directo + Trazado de rutas cuando bus_override es Custom. Elige entre los buses existentes en el Diseño de Buses de Audio (Audio Bus Layout).
Bus for reverb output when reverb_bus_override is Custom. Pick from existing buses in Audio Bus Layout.,Bus for reverb output when reverb_bus_override is Custom. Pick from existing buses in Audio Bus Layout.,Bus para la salida de reverberación cuando reverb_bus_override es Custom. Elige entre los buses existentes en el Diseño de Buses de Audio (Audio Bus Layout).
Bus that hosts [ResonanceAudioEffect] (convolution / TAN wet) and the reverb activator. Empty = ResonanceReverb. Godot send for this bus follows [method get_bus_effective] (same as Direct+Pathing runtime bus).,Bus that hosts [ResonanceAudioEffect] (convolution / TAN wet) and the reverb activator. Empty = ResonanceReverb. Godot send for this bus follows [method get_bus_effective] (same as Direct+Pathing runtime bus).,Bus que aloja [ResonanceAudioEffect] (señal wet de convolución / TAN) y el activador de reverberación. Vacío = ResonanceReverb. El envío de Godot para este bus sigue a [method get_bus_effective] (el mismo que el bus en ejecución Direct+Pathing).
Cap for per-tick ray recovery (0 = unlimited; useful to prevent big jumps after a long under-budget stretch).,Cap for per-tick ray recovery (0 = unlimited; useful to prevent big jumps after a long under-budget stretch).,Límite para la recuperación de rayos por ciclo (0 = ilimitado; útil para evitar saltos grandes tras un largo periodo por debajo del presupuesto).
Collision mask for Godot [code]PhysicsRayQueryParameters3D[/code] when [member scene_type] is Custom. [code]-1[/code] = all physics layers.,Collision mask for Godot [code]PhysicsRayQueryParameters3D[/code] when [member scene_type] is Custom. [code]-1[/code] = all physics layers.,Máscara de colisión para [code]PhysicsRayQueryParameters3D[/code] de Godot cuando [member scene_type] es Custom. [code]-1[/code] = todas las capas físicas.
"Convolution / hybrid / TAN apply path: clamp IR length to this many samples (min with allocated effect IR).
0 = no cap.","Convolution / hybrid / TAN apply path: clamp IR length to this many samples (min with allocated effect IR).
0 = no cap.","Ruta de aplicación de convolución / híbrido / TAN: limita la longitud de la IR a esta cantidad de muestras (mínimo con la IR de efecto asignada).
0 = sin límite."
"Custom attenuation curve. X = normalized distance (0..1), Y = volume. Used when attenuation_mode is Curve.","Custom attenuation curve. X = normalized distance (0..1), Y = volume. Used when attenuation_mode is Curve.","Curva de atenuación personalizada. X = distancia normalizada (0..1), Y = volumen. Se utiliza cuando attenuation_mode es Curve."
Default max surfaces along the transmission path ([code]numTransmissionRays[/code]) when a [ResonancePlayerConfig] omits [member ResonancePlayerConfig.max_transmission_surfaces] or for initial simulator source state. Same range as per-source (1–256). Matches [member ResonancePlayerConfig.max_transmission_surfaces] default.,Default max surfaces along the transmission path ([code]numTransmissionRays[/code]) when a [ResonancePlayerConfig] omits [member ResonancePlayerConfig.max_transmission_surfaces] or for initial simulator source state. Same range as per-source (1–256). Matches [member ResonancePlayerConfig.max_transmission_surfaces] default.,Superficies máximas por defecto a lo largo de la ruta de transmisión ([code]numTransmissionRays[/code]) cuando una [ResonancePlayerConfig] omite [member ResonancePlayerConfig.max_transmission_surfaces] o para el estado inicial del simulador de fuentes. Mismo rango que por fuente (1–256). Coincide con el valor predeterminado de [member ResonancePlayerConfig.max_transmission_surfaces].
"Default reflections mode for sources that use **Use Global**.
**Baked** = probe reverbs (stored per probe; not the same as ray-traced occlusion through walls).
**Realtime** = ray-traced simulation against the acoustic scene (requires [member realtime_rays] > 0) - use for sealed rooms / geometry-dependent indirect sound.","Default reflections mode for sources that use **Use Global**.
**Baked** = probe reverbs (stored per probe; not the same as ray-traced occlusion through walls).
**Realtime** = ray-traced simulation against the acoustic scene (requires [member realtime_rays] > 0) - use for sealed rooms / geometry-dependent indirect sound.","Modo de reflexiones por defecto para las fuentes que utilizan **Usar global**.
**Baked** = reverberaciones de sonda (almacenadas por sonda; no es lo mismo que la oclusión de rayos por fuente a través de paredes).
**Realtime** = simulación de trazado de rayos contra la escena acústica (requiere [member realtime_rays] > 0); se usa para salas selladas / sonido indirecto dependiente de la geometría."
Default when a [ResonancePlayer] uses **Use Global** for path validation: re-check baked paths for occlusion by dynamic geometry each update (higher CPU).,Default when a [ResonancePlayer] uses **Use Global** for path validation: re-check baked paths for occlusion by dynamic geometry each update (higher CPU).,Predeterminado cuando un [ResonancePlayer] utiliza **Usar global** para la validación de rutas: vuelve a comprobar la oclusión de las rutas horneadas por geometría dinámica en cada actualización (mayor uso de CPU).
"Default when a player uses **Use Global** for alternate paths: search realtime routes when a baked path is occluded.
Very CPU-heavy; only effective if validation is enabled.","Default when a player uses **Use Global** for alternate paths: search realtime routes when a baked path is occluded.
Very CPU-heavy; only effective if validation is enabled.","Predeterminado cuando un reproductor utiliza **Usar global** para rutas alternativas: busca rutas en tiempo real cuando una ruta horneada está ocluida.
Muy costoso para la CPU; solo es efectivo si la validación está habilitada."
"Diffuse samples per reflection point. Higher = smoother reverb, more CPU. Only when Realtime Rays > 0.","Diffuse samples per reflection point. Higher = smoother reverb, more CPU. Only when Realtime Rays > 0.","Muestras difusas por punto de reflexión. Mayor = reverberación más suave, más CPU. Solo cuando Realtime Rays > 0."
Direct + pathing bus. Use Global = runtime bus; Custom = [member bus_name]. Setter refreshes inspector visibility for [member bus_name].,Direct + pathing bus. Use Global = runtime bus; Custom = [member bus_name]. Setter refreshes inspector visibility for [member bus_name].,Bus directo + trazado. Usar global = bus en ejecución; Custom = [member bus_name]. El setter actualiza la visibilidad en el inspector para [member bus_name].
"Direct path without HRTF: speaker layout for IPLPanningEffect (and optional Ambisonics→speaker decode for surround).
Godot player output stays stereo (fold-down). Use 1/2/4/6/8 only; other values become stereo at runtime.","Direct path without HRTF: speaker layout for IPLPanningEffect (and optional Ambisonics→speaker decode for surround).
Godot player output stays stereo (fold-down). Use 1/2/4/6/8 only; other values become stereo at runtime.","Ruta directa sin HRTF: diseño de altavoces para IPLPanningEffect (y decodificación opcional de ambisónicos a altavoces para sonido envolvente).
La salida del reproductor de Godot sigue siendo estéreo (mezcla hacia abajo). Usa solo 1/2/4/6/8; otros valores se convierten en estéreo en tiempo de ejecución."
"Direct-effect frequency mode for transmission (Steam Audio [code]IPLTransmissionType[/code] on the direct processor): FreqIndependent (one blended coefficient) or FreqDependent (low/mid/high). This does not add “softer” material boundaries or a volumetric transmission path; Steam Audio [code]IPLSimulationInputs[/code] exposes [code]numTransmissionRays[/code] for path depth only, not an occlusion-style Raycast/Volumetric switch for transmission.","Direct-effect frequency mode for transmission (Steam Audio [code]IPLTransmissionType[/code] on the direct processor): FreqIndependent (one blended coefficient) or FreqDependent (low/mid/high). This does not add “softer” material boundaries or a volumetric transmission path; Steam Audio [code]IPLSimulationInputs[/code] exposes [code]numTransmissionRays[/code] for path depth only, not an occlusion-style Raycast/Volumetric switch for transmission.","Modo de frecuencia de efecto directo para transmisión (Steam Audio [code]IPLTransmissionType[/code] en el procesador directo): FreqIndependent (un coeficiente mezclado) o FreqDependent (baja/media/alta). Esto no añade límites de material 'más blandos' ni una ruta de transmisión volumétrica; Steam Audio [code]IPLSimulationInputs[/code] expone [code]numTransmissionRays[/code] solo para profundidad de ruta, no un interruptor de estilo Raycast/Volumétrico para transmisión."
"Directivity attenuation (0-1). 0 = fully attenuated, 1 = no change. Only when directivity_input is User Defined.","Directivity attenuation (0-1). 0 = fully attenuated, 1 = no change. Only when directivity_input is User Defined.","Atenuación de directividad (0-1). 0 = totalmente atenuado, 1 = sin cambios. Solo cuando directivity_input es User Defined."
"Directivity source: Simulation Defined = dipole model (weight, power). User Defined = use directivity_value (script-controlled).","Directivity source: Simulation Defined = dipole model (weight, power). User Defined = use directivity_value (script-controlled).","Origen de directividad: Definido por simulación = modelo dipolo (peso, potencia). Definido por usuario = usa directivity_value (controlado por script)."
Distance (meters) at which sound is at full volume. Closer than this: no attenuation.,Distance (meters) at which sound is at full volume. Closer than this: no attenuation.,Distancia (metros) a la que el sonido está al volumen máximo. Más cerca que esto: sin atenuación.
Enable distance-based air absorption. Distant sounds appear muffled.,Enable distance-based air absorption. Distant sounds appear muffled.,Habilita la absorción de aire basada en la distancia. Los sonidos lejanos sonarán apagados.
Enable pathing (multi-path sound propagation). Requires baked pathing in Probe Volumes.,Enable pathing (multi-path sound propagation). Requires baked pathing in Probe Volumes.,Habilita el trazado de rutas (propagación de sonido por múltiples rutas). Requiere trazado de rutas horneado en los volúmenes de sondas (Probe Volumes).
Enable pathing bake (multi-path sound propagation).,Enable pathing bake (multi-path sound propagation).,Habilita el horneado de trazado de rutas (propagación de sonido por múltiples rutas).
